TITLE	TITLESHORT	ISSN	EISSN	PARENT
Annals of Translational Medicine	ATM	2305-5839	x	vancouver
Annals of Esophagus	AOE	2617-9150	x	vancouver
Annals of Palliative Medicine	APM	2224-5820	x	vancouver
Art of Surgery	AOS	2789-5489	x	vancouver
Cancer Communications	CC	2523-3548	x	vancouver
Cardiovascular Diagnosis and Therapy	CDT	2223-3660	x	vancouver
Chinese Clinical Oncology	CCO	2304-386X	x	vancouver
Emerging Microbes & Infections	EMI	2222-1751	2222-176X	vancouver
Gland Surgery	GS	2227-8575	x	vancouver
Hepatobiliary Surgery and Nutrition	HBSN	2304-3886	2304-3878	vancouver
Journal of Gastrointestinal Oncology	JGO	2078-6821	2218-6786	vancouver
Journal of Thoracic Disease	JTD	2072-1439	2077-6624	vancouver
Laparoscopic Surgery	LS	2616-2516	x	vancouver
Longhua Chinese Medicine	LCM	2788-7517	x	vancouver
Mediastinum	MEDIASTINUM	2522-671X	x	vancouver
Pediatric Medicine	PM	2617-5422	x	vancouver
Quantitative Imaging in Medicine and Surgery	QIMS	2223-4292	2223-4306	vancouver
Translational Andrology and Urology	TAU	2223-4683	x	vancouver
Translational Cancer Research	TCR	2218-6778	x	vancouver
Translational Lung Cancer Research	TLCR	2218-6751	x	vancouver
Translational Pediatrics	TP	2224-4336	x	vancouver
Video-assisted Thoracic Surgery	VATS	2521-3155	x	vancouver
Vessel Plus	VP	2574-1209	x	vancouver
mHealth	mHealth	2306-9740	x	vancouver
Annals of Cardiothoracic Surgery	ACS	2304-1021	2225-319X	vancouver
Journal of Visualized Surgery	JOVS	x	2221-2965	vancouver
Translational Gastroenterology and Hepatology	TGH	2415-1289	x	vancouver
Annals of Laparoscopic and Endoscopic Surgery	ALES	x	2518-6973	vancouver
Annals of Blood	AOB	x	2521-361X	vancouver
Annals of Eye Science	AES	2520-4122	x	vancouver
Journal of Public Health and Emergency	JPHE	2520-0054	x	vancouver
Journal of Hospital Management and Health Policy	JHMHP	2523-2533	x	vancouver
Annals of Breast Surgery	ABS	2616-2776	x	vancouver
AME Case Reports	ACR	2523-1995	x	vancouver
Australian Journal of Otolaryngology	AJO	x	2616-2792	vancouver
Journal of Oral and Maxillofacial Anesthesia	JOMA	x	2790-8852	vancouver
Journal of Medical Artificial Intelligence	JMAI	2617-2496	x	vancouver
