TITLE	IDENTIFIER	ISSN	EISSN
AINS	ains	0939-2661 	1439-1074
Aktuelle Dermatologie	aktuelle-dermatologie	0340-2541	1438-938X
Aktuelle Ernährungsmedizin	aktuelle-ernaehrungsmedizin	0341-0501	1438-9916
Aktuelle Kardiologie	aktuelle-kardiologie	2193-5203	2193-5211
Aktuelle Neurologie	aktuelle-neurologie	0302-4350	1438-9428
Aktuelle Rheumatologie	aktuelle-rheumatologie	0341-051X	1438-9940
Aktuelle Urologie	aktuelle-urologie	0001-7868	1438-8820
Allgemein- und Viszeralchirurgie up2date	allgemein-und-viszeralchirurgie-up2date	1611-6437	1611-6461
Augenheilkunde up2date	augenheilkunde-up2date	1616-9719	1616-9735 
Balint-Journal	balint-journal	1439-5142 	1439-9008
Der Notarzt	der-notarzt	0177-2309	1438-8693
Der Nuklearmediziner	der-nuklearmediziner	0723-7065	1439-5800
Diabetologie und Stoffwechsel	diabetologie-und-stoffwechsel	1861-9002	1861-9010
Die Rehabilitation	die-rehabilitation	0034-3536	1439-1309
Die Wirbelsäule	die-wirbelsaeule	2509-8241 	2509-825X
DMW - Deutsche Medizinische Wochenschrift	dmw-deutsche-medizinische-wochenschrift	0012-0472	1439-4413
Drug Research	drug-research	2194-9379 	2194-9387
Experimental and Clinical Endocrinology & Diabetes	experimental-and-clinical-endocrinology-and-diabetes	0947-7349 	1439-3646
Experimental and Clinical Endocrinology & Diabetes Reports	experimental-and-clinical-endocrinology-and-diabetes-reports		2196-7407
Endokrinologie Informationen	endokrinologie-informationen	0721-667X	
Endo-Praxis	endo-praxis	0177-4077	1611-6429
Endoscopy	endoscopy	0013-726X 1438-8812
Endoscopy International Open	endoscopy-international-open	2364-3722 	2196-9736
Fortschritte der Neurologie - Psychiatrie 	fortschritte-der-neurologie-psychiatrie	0720-4299 	1439-3522
Frauenheilkunde up2date	frauenheilkunde-up2date	1439-3719 	1611-650X
Gastroenterologie up2date	gastroenterologie-up2date	1616-9670 	1616-9727
Geburtshilfe und Frauenheilkunde	geburtshilfe-und-frauenheilkunde	0016-5751 	1438-8804
Gefäßmedizin Scan	gefaeßmedizin-scan	2197-5922	2197-5930
HaMiPla - Handchirurgie - Mikrochirurgie - Plastische Chirurgie	hamipla-handchirurgie-mikrochirurgie-plastische-chirurgie	0722-1819 	1439-3980 
Handchirurgie Scan	handchirurgie-scan	2194-8976 	2194-8984
Hormone and Metabolic Research	hormone-and-metabolic-research	0018-5043 	1439-4286
Intensivmedizin up2date	intensivmedizin-up2date	1614-4856 	1614-6697
International Journal of Sports Medicine	international-journal-of-sports-medicine	0172-4622 	1439-3964
IOK - Informationen aus Orthodontie & Kieferorthopädie 	iok-informationen-aus-orthodontie-and-kieferorthopaedie	0020-0336 	1439-4200
Journal Club AINS	journal-club-ains	2194-9719 	2194-9727
Kardiologie up2date	kardiologie-up2date	1611-6534 	1860-3513
Klinische Neurophysiologie	klinische-neurophysiologie	1434-0275 	1439-4081
Klinische Monatsblätter für Augenheilkunde	klinische-monatsblaetter-fuer-augenheilkunde	0023-2165 	1439-3999
Klinische Pädiatrie	klinische-paediatrie	0300-8630 	1439-3824
Krankenhaushygiene up2date	krankenhaushygiene-up2date	1862-5797 	1862-5800
Laryngo-Rhino-Otologie	laryngo-rhino-otologie	0935-8943 	1438-8685
